track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,playlist,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
349Wc5mDu52d4Uv8Eg9WZv,Indigo,88rising,70,870947,"['asian american hip hop', 'pop']",63,Head In The Clouds II,r&b,0.819,0.71,0.664,144.988,-5.612,0.0828,1.75E-06,0.263,0.0958,7
50oEtTUNlce4TuZXQoJzXW,urs,NIKI,76,2221877,"['indonesian r&b', 'pop']",70,wanna take this downtown?,r&b,0.72,0.235,0.415,94.88,-9.527,0.354,1.01E-06,0.0893,0.834,0
39rYdh4MkbRdoA7jvMUYYN,move!,NIKI,76,2221877,"['indonesian r&b', 'pop']",50,wanna take this downtown?,r&b,0.829,0.801,0.49,126.922,-7.003,0.508,0,0.0861,0.523,6
1NCUe90ZCiWTnWn3umrwqw,Vintage,NIKI,76,2221877,"['indonesian r&b', 'pop']",63,Zephyr,r&b,0.771,0.438,0.816,104.958,-7.104,0.0581,0.000963,0.339,0.0114,2
5TTXEcfsYLh6fTarLaevTi,lowkey,NIKI,76,2221877,"['indonesian r&b', 'pop']",79,lowkey,r&b,0.752,0.227,0.494,117.901,-8.18,0.0559,0,0.0869,0.432,0
4LTeNJlLwIgMTPPyR0KaDP,Forever,rei brown,55,118786,['chill r&b'],54,Forever,r&b,0.635,0.758,0.444,159.962,-11.772,0.039,0.00513,0.105,0.656,7
7ivYWXqrPLs66YwakDuSim,like i need u,keshi,76,2107412,"['chill r&b', 'pop']",75,THE REAPER,r&b,0.748,0.412,0.465,119.872,-8.163,0.0869,0,0.294,0.399,5
3IqcBL5yjJK3ri0TGaL3MC,less of you,keshi,76,2107412,"['chill r&b', 'pop']",70,bandaids,r&b,0.563,0.568,0.678,169.963,-5.885,0.0495,1.34E-06,0.117,0.544,7
2Q3QRjA8MjzqpFaIkFludb,right here,keshi,76,2107412,"['chill r&b', 'pop']",69,bandaids,r&b,0.597,0.319,0.496,160.05,-9.441,0.077,0,0.117,0.0839,5
2yyluSgySg95O24RBkgrMR,B.Y.S.,keshi,76,2107412,"['chill r&b', 'pop']",66,always,r&b,0.632,0.355,0.653,99.997,-6.646,0.0379,0,0.265,0.508,9
6D6HVKe7Qu3imn4zzJD0W9,drunk,keshi,76,2107412,"['chill r&b', 'pop']",72,always,r&b,0.691,0.306,0.389,104.952,-8.247,0.0367,0,0.0941,0.765,4
14gmLQPNYokqB8OKxAp69f,War With Heaven,keshi,76,2107412,"['chill r&b', 'pop']",65,Shang-Chi and The Legend of The Ten Rings: The Album,r&b,0.622,0.572,0.671,84.996,-6.426,0.026,0,0.304,0.014,5
1Fhb9iJPufNMZSwupsXiRe,beside you,keshi,76,2107412,"['chill r&b', 'pop']",76,beside you,r&b,0.711,0.852,0.747,136,-6.335,0.0523,0,0.0957,0.459,0
0HeiYo9WwMT8ujirrWzarf,SOMEBODY,keshi,76,2107412,"['chill r&b', 'pop']",1,SOMEBODY,r&b,0.649,0.485,0.461,141.102,-8.401,0.0449,0,0.108,0.44,8
60bAuEmJQfzeDV1B84H4xY,WESTSIDE,keshi,76,2107412,"['chill r&b', 'pop']",66,GABRIEL,r&b,0.562,0.271,0.47,159.728,-10.722,0.0717,0,0.113,0.455,2
38umMmZQdeoOG7Zojor4g3,ANGOSTURA,keshi,76,2107412,"['chill r&b', 'pop']",68,GABRIEL,r&b,0.536,0.199,0.659,170.035,-9.732,0.0483,0.004,0.107,0.406,6
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,86,7768173,['viral pop'],85,BALLADS 1,r&b,0.515,0.284,0.479,88.964,-7.458,0.0261,0.00598,0.191,0.544,3
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,86,7768173,['viral pop'],90,Glimpse of Us,r&b,0.44,0.268,0.317,169.914,-9.258,0.0531,4.78E-06,0.141,0.891,8
4MIKclDDgZgzuaATP5yOjW,On the Low,Justin Park,51,72806,['chill r&b'],62,Places Like Home,r&b,0.68,0.398,0.53,87.008,-6.854,0.209,0,0.115,0.203,0
3wefloF3t1sFZx8YMFhqYB,Shouldn't Be,Luke Chiang,60,205692,"['chill r&b', 'pop']",38,Shouldn't Be,r&b,0.651,0.302,0.291,124.898,-10.009,0.0326,0,0.115,0.738,4
6U0FIYXCQ3TGrk4tFpLrEA,SUGAR,BROCKHAMPTON,72,2060681,"['boy band', 'hip hop', 'rap']",73,GINGER,r&b,0.453,0.516,0.538,122.973,-8.212,0.0638,0,0.19,0.449,1
0SRPuTnr5QOKRoIxMvvlgK,Vampire,Dominic Fike,73,1001427,"['alternative pop rock', 'pop']",64,What Could Possibly Go Wrong,r&b,0.787,0.698,0.735,97.957,-4.808,0.0857,4.09E-05,0.113,0.331,0
5lT5IZWW3JQErXELJpQgJ9,Slow Down,Chase Atlantic,80,4269968,['pop'],79,Paradise EP,r&b,0.477,0.255,0.788,129.967,-4.46,0.0362,1.78E-06,0.294,0.0183,10
1rWzYSHyZ5BiI4DnDRCwy7,Moonlight,Chase Atlantic,80,4269968,['pop'],72,Paradise EP,r&b,0.439,0.128,0.587,134.785,-5.943,0.0402,0,0.0977,0.00269,11
4HwDCXsMBC7SUdp2WT4MZP,Into It,Chase Atlantic,80,4269968,['pop'],80,Chase Atlantic,r&b,0.518,0.291,0.572,130.053,-6.706,0.0416,2.41E-05,0.129,0.0503,10
3M0lSi5WW79CXQamgSBIjx,Swim,Chase Atlantic,80,4269968,['pop'],84,Chase Atlantic,r&b,0.666,0.0771,0.542,120.134,-6.429,0.0392,0,0.0765,0.27,8
2zVaxB54fNngkbWs5uZnla,OHMAMI,Chase Atlantic,80,4269968,['pop'],69,OHMAMI,r&b,0.625,0.398,0.717,126.004,-5.796,0.121,8.73E-05,0.277,0.0476,10
2jQiSYrwJehQAcuaaQrXnS,Friends,Chase Atlantic,80,4269968,['pop'],83,Nostalgia,r&b,0.422,0.0911,0.609,107.34,-6.361,0.0335,4.76E-06,0.108,0.0114,11
2KtS31kaWNHs12Q5B43Ixh,Right Here,Chase Atlantic,80,4269968,['pop'],73,Part One,r&b,0.351,0.221,0.587,159.881,-6.413,0.0413,1.87E-05,0.121,0.00516,6
1uCMyqf4cgJ3LIu01SgXb5,ANGELS,Chase Atlantic,80,4269968,['pop'],56,PHASES,r&b,0.608,0.356,0.711,115.998,-6.019,0.0462,1.55E-05,0.102,0.062,5
10UlPBWHkekb2UiDnwcyeD,EMPTY,Chase Atlantic,80,4269968,['pop'],60,BEAUTY IN DEATH,r&b,0.693,0.486,0.678,147.99,-5.639,0.0583,0,0.0927,0.165,8
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),Daniel Caesar,78,3685623,"['canadian contemporary r&b', 'pop', 'r&b']",81,Freudian,r&b,0.658,0.358,0.294,74.038,-8.533,0.0321,5.20E-05,0.0749,0.422,4
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),Daniel Caesar,78,3685623,"['canadian contemporary r&b', 'pop', 'r&b']",81,Freudian,r&b,0.524,0.436,0.364,75.24,-10.209,0.0367,0,0.1,0.808,7
1boXOL0ua7N2iCOUVI1p9F,Japanese Denim,Daniel Caesar,78,3685623,"['canadian contemporary r&b', 'pop', 'r&b']",78,Get You - Single,r&b,0.707,0.345,0.238,124.156,-8.818,0.0379,2.42E-06,0.0842,0.0905,3
